"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 15 18:56:54 GMT 2024","Fri Mar 15 18:56:54 GMT 2024","493","","Login page","","","","should error with no credentials",""
"passed","Fri Mar 15 18:56:52 GMT 2024","Fri Mar 15 18:56:54 GMT 2024","1921","","Login page","","","","should error with invalid credentials",""
"passed","Fri Mar 15 18:56:41 GMT 2024","Fri Mar 15 18:56:41 GMT 2024","355","","Login page","","","","should error with no credentials",""
"passed","Fri Mar 15 18:56:39 GMT 2024","Fri Mar 15 18:56:41 GMT 2024","1574","","Login page","","","","should login with valid credentials",""
"passed","Fri Mar 15 18:56:51 GMT 2024","Fri Mar 15 18:56:52 GMT 2024","417","","Login page","","","","should error with no credentials",""
"passed","Fri Mar 15 18:56:39 GMT 2024","Fri Mar 15 18:56:41 GMT 2024","1574","","Login page","","","","should error with invalid credentials",""
"passed","Fri Mar 15 18:56:48 GMT 2024","Fri Mar 15 18:56:51 GMT 2024","2872","","Login page","","","","should login with valid credentials",""
"passed","Fri Mar 15 18:56:52 GMT 2024","Fri Mar 15 18:56:54 GMT 2024","1907","","Login page","","","","should login with valid credentials",""
"passed","Fri Mar 15 18:56:48 GMT 2024","Fri Mar 15 18:56:51 GMT 2024","2838","","Login page","","","","should error with invalid credentials",""
