"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 12 23:51:32 GMT 2024","Tue Mar 12 23:51:35 GMT 2024","2829","","Login page","","","","should login with valid credentials",""
"passed","Tue Mar 12 23:51:32 GMT 2024","Tue Mar 12 23:51:35 GMT 2024","2828","","Login page","","","","should error with invalid credentials",""
"passed","Tue Mar 12 23:51:20 GMT 2024","Tue Mar 12 23:51:22 GMT 2024","2244","","Login page","","","","should error with invalid credentials",""
"passed","Tue Mar 12 23:51:22 GMT 2024","Tue Mar 12 23:51:24 GMT 2024","1756","","Login page","","","","should error with invalid credentials",""
"passed","Tue Mar 12 23:51:22 GMT 2024","Tue Mar 12 23:51:22 GMT 2024","419","","Login page","","","","should error with no credentials",""
"passed","Tue Mar 12 23:51:22 GMT 2024","Tue Mar 12 23:51:24 GMT 2024","1597","","Login page","","","","should login with valid credentials",""
"passed","Tue Mar 12 23:51:35 GMT 2024","Tue Mar 12 23:51:35 GMT 2024","366","","Login page","","","","should error with no credentials",""
"passed","Tue Mar 12 23:51:24 GMT 2024","Tue Mar 12 23:51:24 GMT 2024","495","","Login page","","","","should error with no credentials",""
"passed","Tue Mar 12 23:51:19 GMT 2024","Tue Mar 12 23:51:22 GMT 2024","2485","","Login page","","","","should login with valid credentials",""
