"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 05 01:58:46 GMT 2024","Fri Apr 05 01:58:46 GMT 2024","178","","Checkboxes page","","","","should uncheck a checkbox",""
"passed","Fri Apr 05 01:58:51 GMT 2024","Fri Apr 05 01:58:54 GMT 2024","2691","","Login page","","","","should error with invalid credentials",""
"passed","Fri Apr 05 01:58:57 GMT 2024","Fri Apr 05 01:58:59 GMT 2024","1871","","Dropdown List page","","","","should be able to update dropdown field to Option 1",""
"passed","Fri Apr 05 01:59:00 GMT 2024","Fri Apr 05 01:59:00 GMT 2024","953","","Dropdown List page","","","","should not be able to update dropdown field to hint",""
"passed","Fri Apr 05 01:58:46 GMT 2024","Fri Apr 05 01:58:46 GMT 2024","280","","Add/Remove Elements page","","","","should be able to add 2 element",""
"passed","Fri Apr 05 01:59:02 GMT 2024","Fri Apr 05 01:59:04 GMT 2024","2534","","Add/Remove Elements page","","","","should be able to add 10 element",""
"passed","Fri Apr 05 01:59:00 GMT 2024","Fri Apr 05 01:59:02 GMT 2024","1438","","Add/Remove Elements page","","","","should be able to remove 2 element",""
"passed","Fri Apr 05 01:58:45 GMT 2024","Fri Apr 05 01:58:45 GMT 2024","556","","Dropdown List page","","","","should be able to update dropdown field to Option 1",""
"passed","Fri Apr 05 01:58:57 GMT 2024","Fri Apr 05 01:58:58 GMT 2024","1113","","Checkboxes page","","","","should check a checkbox",""
"passed","Fri Apr 05 01:58:53 GMT 2024","Fri Apr 05 01:58:54 GMT 2024","649","","Add/Remove Elements page","","","","should be able to add 2 element",""
"passed","Fri Apr 05 01:58:46 GMT 2024","Fri Apr 05 01:58:46 GMT 2024","240","","Add/Remove Elements page","","","","should be able to remove 1 element",""
"passed","Fri Apr 05 01:58:58 GMT 2024","Fri Apr 05 01:58:58 GMT 2024","713","","Checkboxes page","","","","should uncheck a checkbox",""
"passed","Fri Apr 05 01:58:59 GMT 2024","Fri Apr 05 01:59:01 GMT 2024","2080","","Login page","","","","should error with invalid credentials",""
"passed","Fri Apr 05 01:58:54 GMT 2024","Fri Apr 05 01:58:56 GMT 2024","1276","","Add/Remove Elements page","","","","should be able to add 10 element",""
"passed","Fri Apr 05 01:58:54 GMT 2024","Fri Apr 05 01:58:54 GMT 2024","725","","Add/Remove Elements page","","","","should be able to remove 2 element",""
"passed","Fri Apr 05 01:59:04 GMT 2024","Fri Apr 05 01:59:09 GMT 2024","4368","","Add/Remove Elements page","","","","should be able to remove 10 element",""
"passed","Fri Apr 05 01:58:59 GMT 2024","Fri Apr 05 01:59:00 GMT 2024","704","","Dropdown List page","","","","should be able to update dropdown field to Option 2",""
"passed","Fri Apr 05 01:58:52 GMT 2024","Fri Apr 05 01:58:53 GMT 2024","479","","Checkboxes page","","","","should uncheck a checkbox",""
"passed","Fri Apr 05 01:58:46 GMT 2024","Fri Apr 05 01:58:47 GMT 2024","286","","Login page","","","","should error with no credentials",""
"passed","Fri Apr 05 01:58:53 GMT 2024","Fri Apr 05 01:58:53 GMT 2024","461","","Dropdown List page","","","","should not be able to update dropdown field to hint",""
"passed","Fri Apr 05 01:58:51 GMT 2024","Fri Apr 05 01:58:52 GMT 2024","1561","","Dropdown List page","","","","should be able to update dropdown field to Option 1",""
"passed","Fri Apr 05 01:58:45 GMT 2024","Fri Apr 05 01:58:46 GMT 2024","500","","Add/Remove Elements page","","","","should be able to add 1 element",""
"passed","Fri Apr 05 01:58:56 GMT 2024","Fri Apr 05 01:58:59 GMT 2024","2785","","Add/Remove Elements page","","","","should be able to remove 10 element",""
"passed","Fri Apr 05 01:58:46 GMT 2024","Fri Apr 05 01:58:46 GMT 2024","368","","Checkboxes page","","","","should check a checkbox",""
"passed","Fri Apr 05 01:58:45 GMT 2024","Fri Apr 05 01:58:46 GMT 2024","880","","Login page","","","","should error with invalid credentials",""
"passed","Fri Apr 05 01:58:46 GMT 2024","Fri Apr 05 01:58:47 GMT 2024","412","","Add/Remove Elements page","","","","should be able to remove 2 element",""
"passed","Fri Apr 05 01:59:01 GMT 2024","Fri Apr 05 01:59:03 GMT 2024","1545","","Login page","","","","should login with valid credentials",""
"passed","Fri Apr 05 01:58:52 GMT 2024","Fri Apr 05 01:58:53 GMT 2024","688","","Add/Remove Elements page","","","","should be able to remove 1 element",""
"passed","Fri Apr 05 01:58:48 GMT 2024","Fri Apr 05 01:58:49 GMT 2024","1246","","Add/Remove Elements page","","","","should be able to remove 10 element",""
"passed","Fri Apr 05 01:58:58 GMT 2024","Fri Apr 05 01:58:59 GMT 2024","1025","","Add/Remove Elements page","","","","should be able to remove 1 element",""
"passed","Fri Apr 05 01:58:54 GMT 2024","Fri Apr 05 01:58:54 GMT 2024","619","","Login page","","","","should error with no credentials",""
"passed","Fri Apr 05 01:58:52 GMT 2024","Fri Apr 05 01:58:53 GMT 2024","398","","Dropdown List page","","","","should be able to update dropdown field to Option 2",""
"passed","Fri Apr 05 01:58:46 GMT 2024","Fri Apr 05 01:58:46 GMT 2024","242","","Dropdown List page","","","","should not be able to update dropdown field to hint",""
"passed","Fri Apr 05 01:58:51 GMT 2024","Fri Apr 05 01:58:52 GMT 2024","1487","","Checkboxes page","","","","should check a checkbox",""
"passed","Fri Apr 05 01:58:51 GMT 2024","Fri Apr 05 01:58:53 GMT 2024","1586","","Login page","","","","should login with valid credentials",""
"passed","Fri Apr 05 01:59:02 GMT 2024","Fri Apr 05 01:59:03 GMT 2024","1230","","Login page","","","","should login with valid credentials",""
"passed","Fri Apr 05 01:58:47 GMT 2024","Fri Apr 05 01:58:48 GMT 2024","925","","Add/Remove Elements page","","","","should be able to add 10 element",""
"passed","Fri Apr 05 01:58:57 GMT 2024","Fri Apr 05 01:58:58 GMT 2024","1481","","Add/Remove Elements page","","","","should be able to add 1 element",""
