"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 05 00:08:48 GMT 2024","Fri Apr 05 00:08:50 GMT 2024","1722","","Checkboxes page","","","","should check a checkbox",""
"passed","Fri Apr 05 00:08:36 GMT 2024","Fri Apr 05 00:08:39 GMT 2024","2223","","Login page","","","","should error with invalid credentials",""
"passed","Fri Apr 05 00:08:36 GMT 2024","Fri Apr 05 00:08:37 GMT 2024","1255","","Add/Remove Elements page","","","","should be able to add 1 element",""
"passed","Fri Apr 05 00:08:37 GMT 2024","Fri Apr 05 00:08:37 GMT 2024","278","","Checkboxes page","","","","should uncheck a checkbox",""
"passed","Fri Apr 05 00:08:37 GMT 2024","Fri Apr 05 00:08:38 GMT 2024","443","","Add/Remove Elements page","","","","should be able to remove 1 element",""
"passed","Fri Apr 05 00:08:40 GMT 2024","Fri Apr 05 00:08:42 GMT 2024","1827","","Add/Remove Elements page","","","","should be able to remove 10 element",""
"passed","Fri Apr 05 00:08:38 GMT 2024","Fri Apr 05 00:08:38 GMT 2024","382","","Add/Remove Elements page","","","","should be able to add 2 element",""
"passed","Fri Apr 05 00:08:38 GMT 2024","Fri Apr 05 00:08:38 GMT 2024","447","","Add/Remove Elements page","","","","should be able to add 2 element",""
"passed","Fri Apr 05 00:08:36 GMT 2024","Fri Apr 05 00:08:37 GMT 2024","1106","","Checkboxes page","","","","should check a checkbox",""
"passed","Fri Apr 05 00:08:51 GMT 2024","Fri Apr 05 00:08:53 GMT 2024","1950","","Login page","","","","should login with valid credentials",""
"passed","Fri Apr 05 00:08:39 GMT 2024","Fri Apr 05 00:08:40 GMT 2024","1051","","Add/Remove Elements page","","","","should be able to add 10 element",""
"passed","Fri Apr 05 00:08:45 GMT 2024","Fri Apr 05 00:08:48 GMT 2024","2757","","Login page","","","","should error with invalid credentials",""
"passed","Fri Apr 05 00:08:36 GMT 2024","Fri Apr 05 00:08:37 GMT 2024","1226","","Add/Remove Elements page","","","","should be able to add 1 element",""
"passed","Fri Apr 05 00:08:50 GMT 2024","Fri Apr 05 00:08:51 GMT 2024","808","","Add/Remove Elements page","","","","should be able to remove 1 element",""
"passed","Fri Apr 05 00:08:51 GMT 2024","Fri Apr 05 00:08:52 GMT 2024","925","","Add/Remove Elements page","","","","should be able to add 2 element",""
